Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CH20,409.987500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
2,,433.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
3,,433.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
4,U-ZP,438.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
5,300RPT,439.300000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
6,575RPT,439.575000,-,8.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
7,NNLY,439.600000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
8,V-ZP,145.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
9,VSSTV1,145.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
10,,145.825000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
11,DI1,145.910000,split,437.490000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
12,DI2,145.905000,split,437.495000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
13,DI3,145.900000,split,437.500000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
14,DI4,145.895000,split,437.505000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
15,DI5,145.890000,split,437.510000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
16,RS44S1,437.060000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
17,RS44S2,437.055000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
18,RS44S3,437.050000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
19,RS44S4,437.045000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
20,RS44S5,437.040000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
21,RS50S1,437.105000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
22,RS50S2,437.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
23,RS50S3,437.095000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
24,RS50S4,437.090000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
25,RS50S5,437.085000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
26,SONA1,145.890000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
27,SONA2,145.885000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
28,SONA3,145.880000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
29,SONA4,145.875000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
30,SONA5,145.870000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
