Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,NNLY,439.600000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
1,LZH1,438.000000,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
2,SSTV1,438.850000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
3,RS15S1,437.860000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
4,RS15S2,437.855000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
5,RS15S3,437.850000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
6,RS15S4,437.845000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
7,RS15S5,437.840000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
8,ZP1,438.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
9,ZP2,438.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
10,ZP3,439.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
11,ICC1,437.810000,split,145.985000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
12,ICC2,437.805000,split,145.987500,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
13,ICC3,437.800000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
14,ICC4,437.795000,split,145.992500,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
15,ICC5,437.790000,split,145.995000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
16,LZH2,146.000000,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
17,SSTV2,145.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
18,SSTV3,145.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
19,ZJ1,439.325000,-,9.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
20,ZJ2,439.575000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
21,ZJ3,439.300000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
22,BR7QB,439.850000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
