Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,NNLY,439.600000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
2,,439.300000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
3,,439.850000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
4,ZP,438.500000,,8.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
5,,433.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
6,,433.025000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
7,,433.125000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
8,,433.225000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
9,,433.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
10,,433.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
11,,431.025000,,145.985000,,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
12,,431.050000,,145.985000,,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
13,ARISS1,437.810000,split,145.985000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
14,ARISS2,437.805000,split,145.987500,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
15,ARISS3,437.800000,split,145.990000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
16,ARISS4,437.795000,split,145.992500,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
17,ARISS5,437.790000,split,145.995000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
18,,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
19,,145.025000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
20,,145.125000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
21,,145.225000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
22,,145.425000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
23,VSSTV1,145.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
24,VSSTV2,145.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
25,VAPRS,144.640000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
