Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,452.125000,,0.000000,TSQL,69.3,69.3,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
2,,453.225000,,0.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
3,,454.325000,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
4,,455.425000,,0.000000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
5,,456.525000,,0.000000,TSQL,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
6,,457.625000,,0.000000,TSQL,241.8,241.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
7,,458.725000,,0.000000,DTCS,88.5,88.5,025,NN,025,Tone->Tone,FM,5.00,,4.0W,,,,,
8,,459.825000,,0.000000,DTCS,88.5,88.5,134,NN,134,Tone->Tone,FM,5.00,,4.0W,,,,,
9,,461.925000,,0.000000,DTCS,88.5,88.5,274,NN,274,Tone->Tone,FM,5.00,,4.0W,,,,,
10,,462.225000,,0.000000,DTCS,88.5,88.5,346,NN,346,Tone->Tone,FM,5.00,,4.0W,,,,,
11,,463.325000,,0.000000,DTCS,88.5,88.5,503,NN,503,Tone->Tone,FM,5.00,,4.0W,,,,,
12,,464.425000,,0.000000,DTCS,88.5,88.5,703,RR,703,Tone->Tone,FM,5.00,,4.0W,,,,,
13,,465.525000,,0.000000,DTCS,88.5,88.5,703,RR,703,Tone->Tone,FM,5.00,,4.0W,,,,,
14,,402.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
15,,437.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
16,,479.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
17,,138.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
18,,157.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
19,,172.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
20,,438.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
21,,155.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
